UDFString1,Street_address,CITY,state,zipcode,country,test,store_nbr
1256431,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1257234,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1257235,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1257276,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1257289,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1257606,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1258098,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1258342,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1259870,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1260171,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1260413,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1285296,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1285508,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1285772,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1285785,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1285825,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1285864,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1285924,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1286038,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1286078,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1286104,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1286345,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1286427,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1286700,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1286785,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1287641,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1287662,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1287753,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1288148,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1288219,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1288292,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1288294,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1288344,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1290202,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1290279,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1290388,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1290549,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1290636,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1291048,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1291079,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1291240,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1291336,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1308000,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1308403,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1308693,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1325556,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1327820,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1327993,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1328396,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1328596,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1328843,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
1329073,8785 Branch Avenue,CLINTON,MD,20735,USA,TEST1443,1443
